Date,Impressions Envoyees,Key
09/07/2017,2,393368-10
09/07/2017,2,393368-57
09/07/2017,12,392892-10
09/07/2017,13,456346-10
09/07/2017,42,523402-10
09/07/2017,55,392880-10
09/07/2017,67,2997471007
09/07/2017,83,393766-2
09/07/2017,122,395240-10
09/07/2017,152,395240-57
09/07/2017,192,523438-2
09/07/2017,195,523436-10
09/07/2017,209,523436-57
09/07/2017,211,13359
09/07/2017,212,8100
09/07/2017,280,569746-10
09/07/2017,333,569748-15
09/07/2017,391,477702-10
09/07/2017,392,523404-2
09/07/2017,412,4571
09/07/2017,445,477700-10
09/07/2017,453,392430-10
09/07/2017,569,591326-2
09/07/2017,577,392430-57
09/07/2017,580,529906-10
09/07/2017,598,523402-57
09/07/2017,598,591326-15
09/07/2017,604,497122-2
09/07/2017,610,529906-2
09/07/2017,648,456346-57
09/07/2017,741,392466-15
09/07/2017,820,4565
09/07/2017,886,393466-15
09/07/2017,997,569748-2
09/07/2017,1002,393466-2
09/07/2017,1104,394024-2
09/07/2017,1196,393782-10
09/07/2017,1300,393782-9
09/07/2017,1361,393782-57
09/07/2017,1521,477700-57
09/07/2017,1548,9779145002
09/07/2017,1583,388228
09/07/2017,1586,388229
09/07/2017,1613,389606
09/07/2017,1632,389607
09/07/2017,1799,569746-55
09/07/2017,2558,477702-2
09/07/2017,2742,1802
09/07/2017,2821,452900-10
09/07/2017,2875,529908-10
09/07/2017,3405,452900-57
09/07/2017,3474,393210-2
09/07/2017,3839,529908-2
09/07/2017,5094,497124-15
09/07/2017,5157,393188-10
09/07/2017,5225,394008-57
09/07/2017,5861,471996-58
09/07/2017,6391,394024-15
09/07/2017,6589,393188-2
09/07/2017,6672,393178-57
09/07/2017,7594,394166-2
09/07/2017,7598,393178-10
09/07/2017,7862,413522-10
09/07/2017,8545,393342-15
09/07/2017,8667,394154-57
09/07/2017,8757,471998-2
09/07/2017,8803,393322-10
09/07/2017,8857,471998-10
09/07/2017,8946,393322-57
09/07/2017,9044,2437
09/07/2017,9099,4566
09/07/2017,10487,394008-10
09/07/2017,11217,1801
09/07/2017,12251,395228-10
09/07/2017,13642,395228-57
09/07/2017,13721,392902-15
09/07/2017,16019,392926-2
09/07/2017,16112,394166-88
09/07/2017,17604,392902-57
09/07/2017,17827,4567
09/07/2017,23548,1113
